"","BF","direction","sample_size"
"444",2508.42783164816,3,80
"445",110.944842794751,3,80
"446",183807251.398065,3,80
"447",853237.855525929,3,80
"448",0.530828976780827,2,80
"449",3.45308462655162,3,80
"450",1063.20145518301,3,80
"451",1.13487373640742,1,80
"452",12.9435030156637,3,80
"453",264811.664762927,3,80
"454",411565.068601714,3,80
"455",909.011358643252,3,80
"456",701.075995251863,3,80
"457",1508.42039479098,3,80
"458",2556621.83588184,3,80
"459",10156.6280733067,3,80
"460",3290.82512600046,3,80
"461",0.562260337616729,2,80
"462",14.37803066049,3,80
"463",2104592.62133668,3,80
"464",364.248521380834,3,80
"465",282.220196685488,3,80
"466",13.7344048661727,3,80
"467",6614.3670887127,3,80
"468",11.2745401933451,3,80
"469",1084979.62535517,3,80
"470",4152.87756491613,3,80
"471",110361.621268978,3,80
"472",0.446228099378603,2,80
"473",1.99078746221988,1,80
"474",1607.06847337126,3,80
"475",5.80639878064313,3,80
"476",300.235621487676,3,80
"477",122.719379829226,3,80
"478",8.79684161106962,3,80
"479",93504103.5620243,3,80
"480",250741.391365194,3,80
"481",71232.8613181996,3,80
"482",31.9041821604598,3,80
"483",0.501147038901898,2,80
"484",0.274275435112347,4,80
"485",8264.13837820965,3,80
"486",30.017937978675,3,80
"487",206621.472119041,3,80
"488",374.947676398466,3,80
"489",179464.456700867,3,80
"490",48466.1960984249,3,80
"491",0.290472800713038,4,80
"492",82719.0099486052,3,80
"493",112.381025559708,3,80
"494",1.88677414809238,1,80
"495",32438.1679280797,3,80
"496",2.87859295766154,1,80
"497",4.70576853518315,3,80
"498",0.429673695205305,2,80
"499",61.0647048430036,3,80
"500",10840.779564412,3,80
"501",0.14601828237441,4,80
"502",77.6660451822184,3,80
"503",830425896.587638,3,80
"504",0.0356886232140911,4,80
"505",48257.6605241361,3,80
"506",80.2333760997263,3,80
"507",249.115394756089,3,80
"508",3.72680655903675,3,80
"509",318.393476442206,3,80
"510",4.8844548276108,3,80
"511",24.9564643614628,3,80
"512",820.086237714084,3,80
"513",2.87198778244025,1,80
"514",130143.137948299,3,80
"515",112.129439623174,3,80
"516",96.6364746122198,3,80
"517",68.085357332451,3,80
"518",27732.3799618883,3,80
"519",6.32491758566318,3,80
"520",1435.53960117406,3,80
"521",8223138.15653692,3,80
"522",0.802901764228154,2,80
"523",370.211735036512,3,80
"524",0.316382571340635,4,80
"525",19.2862283782369,3,80
"526",544.871041011412,3,80
"527",5553.98770647925,3,80
"528",35.1099511970464,3,80
"529",469727.335495302,3,80
"530",22146.4458629702,3,80
"531",44.7890109324755,3,80
"532",10085.959275526,3,80
"533",19589.6182343452,3,80
"534",7.55887097555945,3,80
"535",1980.32298148235,3,80
"536",20.6572596904879,3,80
"537",5978.11638406383,3,80
"538",335.711957599238,3,80
"539",21504.2750149619,3,80
"540",933.098109660333,3,80
"541",47414.503778549,3,80
"542",269.462488407601,3,80
"543",4.57520410849865,3,80
"544",6743.39781844312,3,80
"545",68.6566148365677,3,80
"546",76.3375476405565,3,80
"547",0.0166379826923647,4,80
"548",0.0383003420433117,4,80
"549",0.245135688293245,4,80
"550",3742.79443590715,3,80
"551",302094.053428693,3,80
"552",2548.54668749743,3,80
"553",21087.4701675275,3,80
"554",1.85115012967568,1,80
"555",15.6916640359643,3,80
"556",0.513163564215725,2,80
"557",2.74834097288736,1,80
"558",11.4699206669546,3,80
"559",153.469776408218,3,80
"560",104.738722033692,3,80
"561",11914.8331954573,3,80
"562",27.5231279826062,3,80
"563",0.19872138249326,4,80
"564",182560.542602529,3,80
"565",35.1491217625581,3,80
"566",833351.803196303,3,80
"567",160288.156954098,3,80
"568",0.533075612683134,2,80
"569",2061.93259447478,3,80
"570",898.478406730682,3,80
"571",0.0285885671017169,4,80
"572",0.262448126600823,4,80
"573",1886250.50267343,3,80
"574",65.0049901708737,3,80
"575",8658586.74644999,3,80
"576",63510.3703452477,3,80
"577",104005.729677306,3,80
"578",21.4459482221176,3,80
"579",4409.84450726011,3,80
"580",2.73291963568216,1,80
"581",1716.54297771769,3,80
"582",20934.1459195724,3,80
"583",916432.364939101,3,80
"584",57512249.5161985,3,80
"585",4.88540560156764,3,80
"586",3359743.24671071,3,80
"587",0.113901047736576,4,80
"588",136.77018324904,3,80
"589",713270.131965803,3,80
"590",652845.420737611,3,80
"591",0.829470495700477,2,80
"592",66.1231941344311,3,80
"593",58.0608247242599,3,80
"594",78.4561304300973,3,80
"595",51.2110817830378,3,80
"596",7353.24106681941,3,80
"597",4.365137983927,3,80
"598",133.410988204633,3,80
"599",7.37495272563584,3,80
"600",268.005595114564,3,80
"601",374.765626801874,3,80
"602",1900852.07367746,3,80
"603",189.992162803122,3,80
"604",0.0718763670098378,4,80
"605",1151945.15972296,3,80
"606",67477.2236533373,3,80
"607",1116.51033751187,3,80
"608",4.87201642795437,3,80
"609",727.937704404037,3,80
"610",6.0451629051701,3,80
"611",654210.1089558,3,80
"612",6.44647933402346,3,80
"613",1.83686300012968,1,80
"614",0.246555203257766,4,80
"615",13.6202896068157,3,80
"616",50.8129660616612,3,80
"617",59375.9276017532,3,80
"618",11.9189727270885,3,80
"619",23.5951707557472,3,80
"620",0.865234072555316,2,80
"621",130.759809456466,3,80
"622",597.250494500703,3,80
"623",230000.406679902,3,80
"624",123.978619595971,3,80
"625",112.928113552332,3,80
"626",205.640716188501,3,80
"627",10.8103255820374,3,80
"628",732801040.29578,3,80
"629",0.102122066330848,4,80
"630",30.7481545059586,3,80
"631",0.995806594293167,2,80
"632",43981.3011626132,3,80
"633",43.787650001879,3,80
"634",17.2823918705151,3,80
"635",1.73604646671215,1,80
"636",10.6529587296459,3,80
"637",40.5138580833169,3,80
"638",40135271.3798638,3,80
"639",0.59527688206037,2,80
"640",29.1649428005631,3,80
"641",269.153880890113,3,80
"642",1.83054822701905,1,80
"643",29.3823779021127,3,80
"644",5.42378035636637,3,80
"645",11.1097821295137,3,80
"646",204.846949584834,3,80
"647",50.1366523138381,3,80
"648",390889.881041032,3,80
"649",4.44499675912307,3,80
"650",96974.83731477,3,80
"651",3862.17376656054,3,80
"652",265.847304289527,3,80
"653",235.943333978654,3,80
"654",12.2825172613986,3,80
"655",0.042799054299201,4,80
"656",216.305441984655,3,80
"657",126.775449350057,3,80
"658",300.797387566435,3,80
"659",32.0648081972138,3,80
"660",511521.253656509,3,80
"661",191.833115035752,3,80
"662",0.0269740147948694,4,80
"663",0.261531708948224,4,80
"664",68.9825169185444,3,80
"665",65052.2293816145,3,80
"666",5.68716321428777,3,80
"667",0.284736982298399,4,80
"668",270652.554477381,3,80
"669",48087.5760779723,3,80
"670",634961.733148335,3,80
"671",27143.600613463,3,80
"672",3.23351719213275,3,80
"673",7233.71063848864,3,80
"674",16285.4955410854,3,80
"675",0.200872813704652,4,80
"676",4.79723071650161,3,80
"677",1566.88401022693,3,80
"678",1843.99373483722,3,80
"679",31610.3615905387,3,80
"680",1910993.67162266,3,80
"681",41.6190661834825,3,80
"682",90.6519776304821,3,80
"683",50497453742.8817,3,80
"684",6908.12121440967,3,80
"685",106.705277296301,3,80
"686",3.58098557177846,3,80
"687",12.4896532026309,3,80
"688",16.8669466655225,3,80
"689",51.2115498332358,3,80
"690",0.0183514565429333,4,80
"691",4.69089157040663,3,80
"692",807844.715237224,3,80
"693",289.758431930391,3,80
"694",96.9226366778649,3,80
"695",11.6011146993267,3,80
"696",0.650417842061112,2,80
"697",0.0272258770525584,4,80
"698",117.163573865442,3,80
"699",65.4713989094574,3,80
"700",236.177396902925,3,80
"701",113.767484228956,3,80
"702",3.60333833547664,3,80
"703",12.1403381246422,3,80
"704",22212430.8819182,3,80
"705",3.02102866912865,3,80
"706",2.27072795074896,1,80
"707",534.109543705493,3,80
"708",1.31282519766061,1,80
"709",0.213924162661304,4,80
"710",306.660045594158,3,80
"711",0.263914201050351,4,80
"712",74098.1547366171,3,80
"713",4.57746263336723,3,80
"714",1.0731667991759,1,80
"715",160.372888089239,3,80
"716",0.44306317430882,2,80
"717",6640.45800353571,3,80
"718",0.0789716875961361,4,80
"719",1.47829206407018,1,80
"720",893.997967119304,3,80
"721",2.04127400740219,1,80
"722",1346.92260511734,3,80
"723",211.07401686764,3,80
"724",0.20711335353418,4,80
"725",11.7088368079496,3,80
"726",7.24107591705179,3,80
"727",1.77353514342503,1,80
"728",2.04133362001135,1,80
"729",2.09858969792473,1,80
"730",34182.6298336639,3,80
"731",620924.93358735,3,80
"732",845.256719950888,3,80
"733",83.3648679139417,3,80
"734",11359.3313139879,3,80
"735",1.05348433368694,1,80
"736",960619.932210357,3,80
"737",4649.09111944931,3,80
"738",16327.3828579712,3,80
"739",12.0052317135016,3,80
"740",1188150.83952934,3,80
"741",4422013.17014428,3,80
"742",1082.16149709191,3,80
"743",30593.0797796668,3,80
"744",10274211.8341296,3,80
"745",10.4425182647462,3,80
"746",289.352325773272,3,80
"747",537.547444468896,3,80
"748",5586.91424611995,3,80
"749",82814.0347404163,3,80
"750",674701.53397572,3,80
"751",31.8341154714208,3,80
"752",343.896849534284,3,80
"753",24.0053998848887,3,80
"754",35.4136544178595,3,80
"755",86009.8165255237,3,80
"756",0.140120560060195,4,80
"757",4.63346890628538,3,80
"758",103334.170735105,3,80
"759",61182.3618935782,3,80
"760",117.463424435923,3,80
"761",4498605.8263939,3,80
"762",7916093.06941771,3,80
"763",1103.5692327772,3,80
"764",3.42722204254366,3,80
"765",10.1457472747106,3,80
"766",118.913538775159,3,80
"767",3479.87351810277,3,80
"768",29.6911051103177,3,80
"769",615.98230501289,3,80
"770",77.740982984827,3,80
"771",0.852098127822273,2,80
"772",7.92960835033643,3,80
"773",0.749081203362863,2,80
"774",2154645.092969,3,80
"775",9.31608237095985,3,80
"776",12.161348242755,3,80
"777",32.1367943068921,3,80
"778",263.225071808593,3,80
"779",36.4116163618155,3,80
"780",10156.6862335522,3,80
"781",18.456331523165,3,80
"782",4835.89416343415,3,80
"783",81.1692834894254,3,80
"784",0.0155639533903652,4,80
"785",133422191.480759,3,80
"786",13698.5444152193,3,80
"787",7855.11414832732,3,80
"788",29802.8971239606,3,80
"789",0.348934192753285,2,80
"790",214.217989675118,3,80
"791",5.84842335870149,3,80
"792",24263.7214960408,3,80
